Genome	Gene	Chrom	A	B
b37	cyp2d6	22	042522000-042542000	042522300-042528400
b37	cyp2a6	19	041339500-041389490	041348500-041358200
b37	cyp2b6	19	041487100-041534300	041494750-041522800
b37	cyp2c19	10	096518000-096613000	096519000-096612750
b37	cyp2c9	10	096695000-096749500	096695750-096748950
b37	cyp2c8	10	096786500-096839250	096796750-096829600
b37	cyp2e1	10	135330300-135352600	135339500-135351300
b37	cyp3a4	7	099344600-099391800	099355450-099382600
b37	cyp3a5	7	099235800-099287600	099245850-099278250
b37	cyp1a1	15	075001900-075027900	075011600-075015320
b37	cyp1a2	15	075031200-075058900	075038200-075047650
b37	cyp4f2	19	015978850-016018850	015988850-016008850
b37	cypor	7	075534473-075626173	075549473-075621173
hg19	cyp2d6	chr22	042522000-042542000	042522300-042528400
hg19	cyp2a6	chr19	041339500-041389490	041348500-041358200
hg19	cyp2b6	chr19	041487100-041534300	041494750-041522800
hg19	cyp2c19	chr10	096518000-096613000	096519000-096612750
hg19	cyp2c9	chr10	096695000-096749500	096695750-096748950
hg19	cyp2c8	chr10	096786500-096839250	096796750-096829600
hg19	cyp2e1	chr10	135330300-135352600	135339500-135351300
hg19	cyp3a4	chr7	099344600-099391800	099355450-099382600
hg19	cyp3a5	chr7	099235800-099287600	099245850-099278250
hg19	cyp1a1	chr15	075001900-075027900	075011600-075015320
hg19	cyp1a2	chr15	075031200-075058900	075038200-075047650
hg19	cyp4f2	chr19	015978850-016018850	015988850-016008850
hg19	cypor	chr7	075534473-075626173	075549473-075621173
hg38	cyp2d6	chr22	042126000-042137500	042126300-042132400
hg38	cyp2a6	chr19	040833541-040887450	040842750-040852250
hg38	cyp2b6	chr19	040981280-041028400	040988800-041016900
hg38	cyp2c19	chr10	094752750-094865500	094759250-094853000
hg38	cyp2c9	chr10	094935000-094990000	094936000-094989200
hg38	cyp2c8	chr10	095026750-095079500	095037050-095069800
hg38	cyp2e1	chr10	133517350-133549100	133526050-133537800
hg38	cyp3a4	chr7	099746950-099794100	099757850-099784950
hg38	cyp3a5	chr7	099638200-099690000	099648250-099680650
hg38	cyp1a1	chr15	074709550-074735500	074719250-074725500
hg38	cyp1a2	chr15	074738850-074766600	074745850-074755280
hg38	cyp4f2	chr19	015868100-015908000	015878000-015898100
hg38	cypor	chr7	075905155-075996855	075910155-075991855
